Year,Non Service Area Supply,,,,,,,,,,,Non Service Area Supply,,Mid Year Remaining Table A Supply,WYT
1996,138.266,W,,,,,,,,,,138.266,,,W
1997,113.677,W,,,,WYT,,,,,,113.677,119.82425,540.85688,W
1998,132.455,W,,,,W,AN,BN,D,C,,132.455,127.7605,1282.8667,W
1999,90.601,AN,,,1996,138.266,,,,,,90.601,101.0645,1226.822733,W
2000,72.45,AN,,,1997,113.677,,,,,,72.45,76.98775,1374.72712,BN
2001,0.707,D,,,1998,132.455,,,,,,0.707,18.64275,954.867,BN
2002,38.168,D,,,1999,,90.601,,,,,38.168,28.80275,1124.32,D
2003,0.961,BN,,,2000,,72.45,,,,,0.961,10.26275,1058.44,AN
2004,18.788,D,,,2001,,,,0.707,,,18.788,14.33125,1109.891,W
2005,190.277,W,,,2002,,,,38.168,,,190.277,147.40475,1071.5977,W
2006,118.86,W,,,2003,,,0.961,,,,118.86,136.71425,1056.3287,BN
2007,17.02,C,,,2004,,,,18.788,,,17.02,42.48,800.7863,AN
2008,8.008,C,,,2005,190.277,,,,,,8.008,10.261,673.258,BN
2009,60.36,BN,,,2006,118.86,,,,,,60.36,47.272,921.285103,AN
2010,259.797,AN,,,2007,,,,,17.02,,259.797,209.93775,762.9274,
2011,253.102,W,,,2008,,,,,8.008,,253.102,254.77575,1040.669,
2012,280.673,D,,,2009,,,60.36,,,,280.673,273.78025,596.456,
2013,28.999,C,,,2010,,259.797,,,,,28.999,91.9175,726.34523,
2014,7.874,C,,,2011,253.102,,,,,,7.874,13.15525,455.0476,
2015,1.036,C,,,2012,,,,280.673,,,1.036,2.7455,333.618,
2016,64.834,D,,,2013,,,,,28.999,,64.834,48.8845,885.27955,
2017,395.242,W,,,2014,,,,,7.874,,395.242,312.64,985.9488,
2018,131.752,BN,,,2015,,,,,1.036,,131.752,197.6245,1014.52589,
2019,239.656,W,,,2016,,,,64.834,,,239.656,212.68,1040.3298,
2020,128.255,D,,,2017,395.242,,,,,,128.255,156.10525,685.77,
2021,15.006,C,,,2018,,,131.752,,,,15.006,43.31825,401.1854,
2022,15.011,C,,,2019,239.656,,,,,,15.011,15.00975,523.2282,
2023,309.783,W,,,2020,,,,128.255,,,309.783,236.09,996.6782,
2024,35,AN,,,2021,,,,,15.006,,200,227.44575,1062.8087,
2025,35,,,,2022,,,,,15.011,,,,,
,,,,,2023,309.783,,,,,,,,,
,,,,,2024,,35,,,,,,,,
,,,,,,210.1464444,114.462,64.35766667,88.57083333,13.27914286,,,,,
