Year,Local Supplies,LA Aqueduct,Colorado River Aqueduct,State Water Project,Total,Sum Surface
1996,1842000,422000,1089000,663000,4016000,2174000
1997,1902000,436000,1125000,724000,4187000,2285000
1998,1902000,467000,941000,521000,3831000,1929000
1999,2034000,309000,1072000,792000,4207000,2173000
2000,1899000,255000,1217000,1473000,4844000,2945000
2001,1846000,267000,1245000,1119000,4477000,2631000
2002,1844000,179000,1198000,1415000,4636000,2792000
2003,1790000,252000,676000,1561000,4279000,2489000
2004,1760000,203000,741000,1802000,4506000,2746000
2005,1758000,369000,707000,1525000,4359000,2601000
2006,1861000,379000,514000,1695000,4449000,2588000
2007,1984000,129000,696000,1648000,4457000,2473000
2008,1942000,147000,896000,1037000,4022000,2080000
2009,1959000,137000,1044000,908000,4048000,2089000
2010,1839000,251000,837000,1129000,4056000,2217000
2011,1779000,355000,445000,1379000,3958000,2179000
2012,1979000,167000,455000,1252000,3853000,1874000
2013,1963000,65000,986000,974000,3988000,2025000
2014,1923000,64000,1168000,607000,3762000,1839000
2015,1714000,33000,1178000,593000,3518000,1804000
2016,1795000,96000,961000,1009000,3861000,2066000
2017,1751000,380000,282000,1473000,3886000,2135000
2018,1816000,246000,757000,845000,3664000,1848000
2019,1735000,345000,298000,1232000,3610000,1875000
2020,1787000,183000,687000,588000,3245000,1458000
2021,1825000,62000,1061000,606000,3554000,1729000
2022,1771000,71000,1112000,468000,3422000,1651000
2023,1702000,299000,436000,1116000,3553000,1851000
2024,1779000,270000,655000,707000,3411000,1632000
