Date,October 1st Elv.,January 1st Elv.
1995,1184.42004,1176.57996
1996,1190.88,1191.06006
1997,1205.88,1194.46997
1998,1214.87,1214.75
1999,1211.34998,1212.56995
2000,1196.73999,1214.04004
2001,1177.88,1196.18994
2002,1155.46997,1177.30005
2003,1142.06995,1152.18005
2004,1125.89,1139.18005
2005,1138.37,1130.11
2006,1125.34,1137.69
2007,1111.02,1128.23
2008,1105.82,1114.89
2009,1093.7,1111.14
2010,1083.75,1096.38
2011,1116.25,1086.31
2012,1115.1,1132.96
2013,1106.79,1120.47
2014,1081.39,1106.78
2015,1078.13,1087.9
2016,1075.26,1081.01
2017,1082.15,1080.99
2018,1078.41,1082.57
2019,1083.05,1081.56
2020,1083.12,1090.64
2021,1067.68,1083.79
2022,1045.04,1066.43
2023,1065.83,1044.91
2024,1063.78,1068.18
2025,1057.43,1063.37
