ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf
6855246.28,11290977.9,4837901.27,3720909.75,935290.675,1368857.196,1370096.268,2414501.044,3610016.476,2035097.931,4367787.14,3781924.67,1104741.221,687022.233,1430199.29
9491442.1,13880913.7,5755736.41,4543803.519,1066249.311,1692000.991,1691996.846,2834402.199,3749507.741,2125801.767,3113898.587,2688177.86,599269.543,186271.816,1057077.94
3658137.75,7936799.6,1528061.52,1702609.642,144153.8526,486587.1356,485801.192,620355.0859,1025397.602,519197.457,1163479.93,1020014.88,256864.812,74779.509,410511.503
7516270.58,14570416.1,4593056.756,3967124.7,596730.205,1167498.961,1167498.017,1925897.78,2669396.4,1475401.157,2900698.14,2739988.66,802299.182,302521.351,1219870.67
4614971.93,9108031,3614091.41,2755984.41,462909.8437,919467.5994,920900.8797,1403457.51,2128291.778,1064406.898,2041500.93,1717598.38,409228.998,136955.8753,468390.6
7113471.25,10107132,5532079.419,3605614.78,876430.0432,1530710.255,1530699.652,2356901.932,3422103.476,2114597.573,3585999.96,2748257.71,546030.744,162968.9503,963289.21
2293476.1,6574523.5,1339386.405,1211865.15,138644.5844,402608.712,403133.9911,600672.442,1050980.554,515442.3728,1045041.13,966952.2,207620.565,59585.7057,339756.46
2793200.35,7014474.4,1512700.85,1492395.26,127320.1599,438701.6356,438498.8648,593999.995,1079738.209,440501.247,879400.93,939335.42,220699.751,47204.62168,516235.09
6990339.54,13716534.1,4030356.71,3052598.96,547559.203,1086998.951,1086999.78,1769399.726,2623697.358,1415703.309,2883402.15,2474575.06,486039.529,137580.427,906420.341
5444998.7,12567788.6,3134602.14,2690207.75,407699.3646,837303.981,837300.7115,1300899.932,2044879.024,1092803.281,1966297.4,1794649.58,369509.843,93578.15552,583281.7
6221707.68,10730915.9,3932063.76,3304937.05,573349.42,1046576.1,1044600.777,1670704.909,2502514.634,1456614.625,2763776.52,2941647.17,763379.298,308161.881,887429.48
4672602.2,7134001.6,2907422.32,2530508.42,416109.1893,876299.6746,876299.2944,1376901.05,2223027.294,1126100.824,1936195.67,1861763.068,471469.66,122489.619,731537.664
2703302.77,5413048,1502699.6,1347799.67,223980.2318,527200.6279,526987.2655,826492.169,1461588.358,831199.719,1466798.924,1348331.96,227759.637,44838.00646,491423.31
3627501.47,7824367.3,2228600.03,1976288.352,259150.5343,595190.3148,596499.3292,767999.7921,1347180.452,682299.9128,1297499.923,1189821.38,258799.709,61129.0096,392912.83
2220962.9,4227863.9,1468476.25,1301094.974,170671.6798,470025.4095,470014.3425,743557.784,1342849.738,687253.935,1323662.488,1392905.32,350156.203,115639.7162,568076.19
5953639.1,11476945.1,3203880.76,3168186.8,406559.4144,872950.497,874598.4066,1262198.828,2017934.661,1013599.912,1604397.287,1504496.745,347670.127,84126.44978,437735.79
5043536.02,6666000.6,3279000.141,2971693.81,425490.3136,923723.4227,925299.5078,1430403.939,2470921.583,1420498.961,2355099.48,2167198.099,461119.007,83538.1897,885908.58
3095904.36,5265531.5,2750601.44,2072592.38,438420.6557,709400.8841,709058.7818,1128039.821,1785980.462,942004.328,1654299.33,1534605.455,363449.534,79930.7163,621529.778
1342097.3,3294468.4,549117.526,614395.474,40779.0953,190265.506,190370.8081,262791.509,544308.392,252961.8742,444692.655,392505.039,101837.8816,25963.81692,166890.778
3075693.311,8077475.7,2694765.75,2122602.78,381010.022,835201.825,835198.8701,1224499.001,1932117.696,910398.567,1438696.322,1273102.97,325480.243,98573.3888,368711.342
3097802.8,5674155.5,1386497.292,1606507.49,147769.6435,376000.5233,375617.3751,604624.6734,1106734.601,609801.4432,1159180.618,1024449.632,218749.581,44366.6001,455118.39
