MC_Sample,Year1_State,Year2_State,Year3_State
0,2012,2009,2002
1,2020,2016,2015
2,2016,2021,2012
3,1998,2022,2019
4,1997,2001,2022
5,1998,2005,1998
6,2020,2022,2009
7,2000,2002,2018
8,2017,2022,2022
9,2011,2000,1999
10,1998,2017,2019
11,2015,2018,2020
12,2020,2021,2006
13,2017,1998,1998
14,2011,2002,2019
15,1999,2021,1999
16,2012,1998,2000
17,2000,2012,1999
18,2003,2019,2008
19,2002,2023,2023
20,2013,2012,2017
21,2000,2012,2018
22,1999,1997,2022
23,2004,2011,2015
24,2002,2012,2000
25,2012,1997,2012
26,2017,2017,2019
27,2018,2010,2001
28,2010,2012,2019
29,2001,2011,1998
30,2022,2015,2003
31,2012,2010,2004
32,2021,2014,2002
33,2023,2001,2009
34,2012,2022,2002
35,2013,2022,2009
36,2018,2010,2008
37,2006,2002,1998
38,2018,1998,2009
39,2007,2011,1999
40,2017,2002,1998
41,1997,2012,2011
42,2019,2016,2011
43,1997,2001,2015
44,2022,2003,2012
45,2019,2015,2011
46,2002,2006,2011
47,2003,1998,2023
48,2002,2002,2004
49,2022,2019,2002
50,2004,2009,2015
51,1998,2016,2002
52,2022,2012,2006
53,2004,1998,2019
54,2001,2000,2011
55,2017,2002,2020
56,2012,1998,2009
57,1999,2011,2015
58,2009,1999,2004
59,2001,2012,2004
60,2012,2022,2002
61,2022,2008,2010
62,1998,1999,2012
63,2020,2016,2023
64,2023,2020,2002
65,2020,2000,2001
66,2023,2017,2020
67,2009,2001,2018
68,2020,2020,2023
69,2022,2015,2000
70,2019,2011,2005
71,2022,2011,2020
72,1997,2012,2022
73,2004,2006,2012
74,2000,1998,2020
75,2001,2019,2012
76,2020,2012,2012
77,2004,1997,2015
78,2004,2022,2019
79,2011,2014,2020
80,2010,1999,2009
81,2022,1999,2009
82,2009,2009,2022
83,2004,2022,2005
84,2006,2001,2003
85,2022,2004,2023
86,2019,2022,2009
87,2003,2019,1999
88,2019,2009,2011
89,1999,2006,2017
90,2012,2011,2019
91,2013,2022,2002
92,1998,2019,2004
93,2023,2009,2012
94,2009,1999,2020
95,2000,2011,2000
96,2022,2000,1999
97,2012,2019,2016
98,1998,2020,2008
99,2011,2022,2002
