MC_Sample,Year1_State,Year2_State,Year3_State,Year4_State
0,2003,2023,2003,2015
1,2003,1999,2003,2004
2,2002,2012,1999,2006
3,2022,2008,2009,2014
4,2006,2019,2003,2021
5,2006,1999,2005,1999
6,2008,2020,2001,2011
7,2004,2023,2003,1999
8,2017,2005,2000,2023
9,1999,2003,2017,2006
10,2006,2002,1999,2009
11,2003,2015,2012,2007
12,2003,2014,1998,2007
13,2001,2006,2000,2015
14,2019,2022,1998,2015
15,2017,2016,1999,2012
16,2019,2004,2007,2021
17,2002,2022,2020,2004
18,2000,2015,1999,1999
19,2003,2006,2003,2001
20,1999,2001,2019,2017
21,2004,2021,2010,2007
22,2017,2003,2021,2021
23,2000,2019,1999,2004
24,2021,2003,2018,2023
25,2003,2010,2000,2018
26,2017,2019,2011,2020
27,2004,2012,2007,2000
28,2006,2011,2004,2019
29,2004,2019,1998,2003
30,2001,2001,2019,2013
31,2019,2000,2019,2022
32,2022,2005,2010,1998
33,2000,1998,2003,2023
34,2006,2007,2001,2014
35,2023,2011,2007,2017
36,2006,2006,2003,2023
37,2010,2003,2003,2001
38,2002,2017,1999,2000
39,2004,2021,2015,2007
40,2006,2003,2017,2005
41,2006,2008,2003,2000
42,2018,2009,1998,2003
43,2020,2010,2011,2007
44,2000,2023,2004,1999
45,1998,2005,2023,2021
46,2009,2019,2018,2008
47,2003,2022,2011,2015
48,2012,2004,1999,2006
49,2007,1999,2007,2019
50,2003,2020,2021,2018
51,2006,2015,2007,2022
52,2004,2011,2001,2021
53,1998,2022,2017,2004
54,2006,2010,2002,2002
55,2005,2021,2008,2009
56,1998,1999,2008,2012
57,2022,2018,2007,2000
58,1999,2006,2019,2000
59,1998,1998,2021,2007
60,2006,2018,2007,2022
61,1998,2005,2019,1999
62,2017,2019,1999,2011
63,2013,2008,2006,2012
64,1999,2003,2012,2004
65,2006,2003,2008,2001
66,1999,2019,2012,2018
67,2010,2012,2022,2004
68,2021,2004,2017,2000
69,2005,2014,2010,2000
70,1999,2012,2017,2000
71,2016,2003,2010,1999
72,1998,2009,2010,2004
73,2011,2021,2006,2002
74,2005,2004,2020,2006
75,2023,2022,2012,2004
76,2003,2011,2007,2021
77,2019,2020,2010,2023
78,2011,2008,2007,2015
79,2003,2006,2008,2014
80,2009,2011,2013,2001
81,2018,2005,1999,2003
82,2007,2005,2022,2000
83,2006,2007,2003,2014
84,2023,1999,1999,2014
85,2012,2019,2000,2021
86,2017,2009,2004,1998
87,2007,1999,2002,2003
88,1998,2007,2000,2022
89,2011,2017,2017,2010
90,2021,2020,2022,2003
91,2018,2007,2004,1999
92,2006,2019,1999,2010
93,2003,2018,2000,1999
94,2022,2003,2014,2010
95,2019,2010,2004,1998
96,2019,2007,2020,2000
97,2016,2001,2021,2000
98,2006,2012,2007,2021
99,1999,2023,2019,2001
