MC_Sample,Year1_State,Year2_State,Year3_State
0,1997,2002,2007
1,2020,2000,2015
2,2007,2011,2000
3,2017,1999,2002
4,1997,2020,2000
5,1998,2023,1999
6,2020,2010,2005
7,2004,2021,2021
8,2017,2022,2022
9,2023,2000,1998
10,2023,1998,1997
11,2015,2016,2000
12,2001,2001,1998
13,2017,1998,1998
14,2011,2011,2004
15,1999,2012,1998
16,2012,2019,2018
17,2004,2004,2010
18,1999,2012,2020
19,2020,2010,2010
20,2015,2022,2017
21,2004,2002,2020
22,2000,2005,2022
23,2004,2019,2015
24,2003,2016,2011
25,2021,2005,2003
26,2017,2019,2012
27,2022,2008,2004
28,1999,2001,1999
29,2001,2011,1998
30,2001,2015,2009
31,2000,2011,2000
32,2022,2022,2000
33,1997,2020,2003
34,2022,2021,2001
35,2001,2022,2007
36,2010,2006,2009
37,1998,2002,2006
38,2016,2006,1999
39,2004,2012,2023
40,1998,1997,2017
41,2010,2002,2002
42,2016,1999,2005
43,2003,2010,2022
44,2009,2011,2012
45,2011,2013,2019
46,1999,1998,2023
47,2006,2005,2000
48,2004,2020,2012
49,2015,2012,2001
50,2003,2012,2020
51,2019,2022,2016
52,2003,1999,2017
53,2009,2023,2012
54,2022,2012,2011
55,2017,2019,2009
56,2022,2023,2021
57,1999,2011,2015
58,2012,2002,2022
59,2015,2010,2012
60,2000,2009,2004
61,2022,2001,1999
62,1998,2014,2009
63,2001,1997,2023
64,2019,2009,2011
65,2013,2006,2019
66,2016,1998,2009
67,2010,2018,2010
68,2012,2002,2002
69,2020,2010,2022
70,2012,2006,2004
71,2022,2011,2015
72,2004,2002,2000
73,2022,2005,2019
74,1999,1998,2004
75,2009,2019,2009
76,2020,2004,2012
77,2009,2023,2018
78,2000,2015,2023
79,2005,2022,2002
80,2019,2012,2007
81,2004,2009,2010
82,2002,2009,2018
83,2005,2005,1999
84,1998,2013,2016
85,2005,2017,2003
86,1999,2010,1999
87,2003,2016,2000
88,2019,2009,2019
89,2016,2006,2017
90,1999,2011,2022
91,2020,2001,2002
92,2006,1997,1999
93,2019,2022,2000
94,2009,2019,2020
95,2002,2000,2018
96,2014,2012,1999
97,2002,2019,2010
98,1998,2020,2014
99,2005,2013,2001
