Date,NQH2O,,"Nasdaq provides either actual historical index values or back-tested histories for certain indexes. All back-tested index values for periods prior to the launch date of an index are merely indicative, and they are provided “AS IS” for informational and educational purposes only.  Nasdaq makes no guarantee as to the accuracy, timeliness, completeness, or fitness for any particular purpose of or for any index values, either historical or back-tested. Nothing contained herein should be construed as investment advice, either on behalf of a particular security or an overall investment strategy. Past performance is not indicative of future results."
1/9/2013,222.02,,
1/16/2013,146.89,,
1/23/2013,113.34,,
1/30/2013,109.68,,
2/6/2013,109.77,,
2/13/2013,153.63,,
2/20/2013,219.97,,
2/27/2013,247.39,,
3/6/2013,250.63,,
3/13/2013,250.6,,
3/20/2013,253.97,,
3/27/2013,258.8,,
4/3/2013,291.74,,
4/10/2013,292.48,,
4/17/2013,289.54,,
4/24/2013,282.81,,
5/1/2013,278.4,,
5/8/2013,273.18,,
5/15/2013,273.74,,
5/22/2013,283.94,,
5/29/2013,291.97,,
6/5/2013,298.38,,
6/12/2013,305.22,,
6/19/2013,309.06,,
6/26/2013,315.62,,
7/3/2013,244.15,,
7/10/2013,256.54,,
7/17/2013,270.31,,
7/24/2013,282.33,,
7/31/2013,284.34,,
8/7/2013,281.64,,
8/14/2013,284.16,,
8/21/2013,288.55,,
8/28/2013,287.99,,
9/4/2013,285.26,,
9/11/2013,284.52,,
9/18/2013,284.96,,
9/25/2013,285.11,,
10/2/2013,282.3,,
10/9/2013,281.06,,
10/16/2013,280.43,,
10/23/2013,280.75,,
10/30/2013,281.41,,
11/6/2013,284.78,,
11/13/2013,293.4,,
11/20/2013,302.58,,
11/27/2013,308.47,,
12/4/2013,308,,
12/11/2013,309.52,,
12/18/2013,310.26,,
12/25/2013,310.35,,
1/1/2014,306.58,,
1/8/2014,300.15,,
1/15/2014,287.13,,
1/22/2014,274.34,,
1/29/2014,261.22,,
2/5/2014,251.98,,
2/12/2014,248.77,,
2/19/2014,245.54,,
2/26/2014,242.28,,
3/5/2014,247.78,,
3/12/2014,266.58,,
3/19/2014,298.03,,
3/26/2014,360.23,,
4/2/2014,462.32,,
4/9/2014,564.46,,
4/16/2014,635.85,,
4/23/2014,688.42,,
4/30/2014,729.74,,
5/7/2014,762.95,,
5/14/2014,796.03,,
5/21/2014,818.6,,
5/28/2014,833.25,,
6/4/2014,849.09,,
6/11/2014,855.86,,
6/18/2014,837.42,,
6/25/2014,801.08,,
7/2/2014,657.74,,
7/9/2014,624.91,,
7/16/2014,556.79,,
7/23/2014,489.16,,
7/30/2014,455.06,,
8/6/2014,445.25,,
8/13/2014,424.86,,
8/20/2014,404.9,,
8/27/2014,386,,
9/3/2014,365.83,,
9/10/2014,345.67,,
9/17/2014,334.16,,
9/24/2014,334.31,,
10/1/2014,333.92,,
10/8/2014,343.05,,
10/15/2014,358.5,,
10/22/2014,362.15,,
10/29/2014,369.28,,
11/5/2014,385.99,,
11/12/2014,393.29,,
11/19/2014,393.24,,
11/26/2014,393.25,,
12/3/2014,400.33,,
12/10/2014,415.56,,
12/17/2014,425.52,,
12/24/2014,427.34,,
