MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241119,CA,28.61,71.39,16.88,5.5,0.95,0,11/19/2024,11/25/2024,1
20241112,CA,25.51,74.49,17,5.5,0.95,0,11/12/2024,11/18/2024,1
20241105,CA,25.53,74.47,12.26,4.3,0,0,11/5/2024,11/11/2024,1
20241029,CA,25.37,74.63,12.26,4.3,0,0,10/29/2024,11/4/2024,1
20241022,CA,24.68,75.32,14.05,4.3,0,0,10/22/2024,10/28/2024,1
20241015,CA,24.68,75.32,14.05,4.3,0,0,10/15/2024,10/21/2024,1
20241008,CA,24.68,75.32,13.77,1.72,0,0,10/8/2024,10/14/2024,1
20241001,CA,28.4,71.6,10.67,0.08,0,0,10/1/2024,10/7/2024,1
20240924,CA,28.59,71.41,10.67,0.08,0,0,9/24/2024,9/30/2024,1
20240917,CA,28.59,71.41,10.67,0.08,0,0,9/17/2024,9/23/2024,1
20240910,CA,28.59,71.41,10.68,0.08,0,0,9/10/2024,9/16/2024,1
20240903,CA,45.59,54.41,8.36,0,0,0,9/3/2024,9/9/2024,1
20240827,CA,58.11,41.89,6.91,0.1,0,0,8/27/2024,9/2/2024,1
20240820,CA,66.59,33.41,6.91,0.1,0,0,8/20/2024,8/26/2024,1
20240813,CA,77.29,22.71,5.32,0,0,0,8/13/2024,8/19/2024,1
20240806,CA,77.26,22.74,5.32,0,0,0,8/6/2024,8/12/2024,1
20240730,CA,78.78,21.22,4.44,0,0,0,7/30/2024,8/5/2024,1
20240723,CA,78.8,21.2,4.44,0,0,0,7/23/2024,7/29/2024,1
20240716,CA,78.8,21.2,1.62,0,0,0,7/16/2024,7/22/2024,1
20240709,CA,80.72,19.28,0.77,0,0,0,7/9/2024,7/15/2024,1
20240702,CA,94.25,5.75,0,0,0,0,7/2/2024,7/8/2024,1
20240625,CA,97.18,2.82,0,0,0,0,6/25/2024,7/1/2024,1
20240618,CA,98.79,1.21,0,0,0,0,6/18/2024,6/24/2024,1
20240611,CA,98.79,1.21,0,0,0,0,6/11/2024,6/17/2024,1
20240604,CA,98.78,1.22,0,0,0,0,6/4/2024,6/10/2024,1
20240528,CA,98.77,1.23,0,0,0,0,5/28/2024,6/3/2024,1
20240521,CA,98.77,1.23,0,0,0,0,5/21/2024,5/27/2024,1
20240514,CA,98.77,1.23,0,0,0,0,5/14/2024,5/20/2024,1
20240507,CA,97.32,2.68,0,0,0,0,5/7/2024,5/13/2024,1
20240430,CA,97.32,2.68,0,0,0,0,4/30/2024,5/6/2024,1
20240423,CA,97.32,2.68,0,0,0,0,4/23/2024,4/29/2024,1
20240416,CA,97.32,2.68,0,0,0,0,4/16/2024,4/22/2024,1
20240409,CA,97.32,2.68,0,0,0,0,4/9/2024,4/15/2024,1
20240402,CA,95.46,4.54,0,0,0,0,4/2/2024,4/8/2024,1
20240326,CA,95.46,4.54,0,0,0,0,3/26/2024,4/1/2024,1
20240319,CA,95.46,4.54,0,0,0,0,3/19/2024,3/25/2024,1
20240312,CA,95.46,4.54,0,0,0,0,3/12/2024,3/18/2024,1
20240305,CA,95.46,4.54,0,0,0,0,3/5/2024,3/11/2024,1
20240227,CA,92.97,7.03,0,0,0,0,2/27/2024,3/4/2024,1
20240220,CA,92.97,7.03,0,0,0,0,2/20/2024,2/26/2024,1
20240213,CA,92.81,7.19,0,0,0,0,2/13/2024,2/19/2024,1
20240206,CA,92.84,7.16,0,0,0,0,2/6/2024,2/12/2024,1
20240130,CA,90.53,9.47,0,0,0,0,1/30/2024,2/5/2024,1
20240123,CA,96.55,3.45,0,0,0,0,1/23/2024,1/29/2024,1
20240116,CA,96.65,3.35,0,0,0,0,1/16/2024,1/22/2024,1
20240109,CA,96.65,3.35,0,0,0,0,1/9/2024,1/15/2024,1
20240102,CA,96.65,3.35,0,0,0,0,1/2/2024,1/8/2024,1
20231226,CA,96.65,3.35,0,0,0,0,12/26/2023,1/1/2024,1
20231219,CA,96.33,3.67,0,0,0,0,12/19/2023,12/25/2023,1
20231212,CA,96.33,3.67,0,0,0,0,12/12/2023,12/18/2023,1
20231205,CA,96.33,3.67,0,0,0,0,12/5/2023,12/11/2023,1
20231128,CA,95.32,4.68,0,0,0,0,11/28/2023,12/4/2023,1
20231121,CA,95.32,4.68,0,0,0,0,11/21/2023,11/27/2023,1
20231114,CA,95.32,4.68,0,0,0,0,11/14/2023,11/20/2023,1
20231107,CA,94.04,5.96,0,0,0,0,11/7/2023,11/13/2023,1
20231031,CA,94.34,5.66,0,0,0,0,10/31/2023,11/6/2023,1
20231024,CA,94.32,5.68,0,0,0,0,10/24/2023,10/30/2023,1
20231017,CA,94.32,5.68,0,0,0,0,10/17/2023,10/23/2023,1
20231010,CA,93.98,6.02,0.07,0,0,0,10/10/2023,10/16/2023,1
20231003,CA,94.01,5.99,0.07,0,0,0,10/3/2023,10/9/2023,1
20230926,CA,94.01,5.99,0.07,0,0,0,9/26/2023,10/2/2023,1
20230919,CA,93.53,6.47,0.24,0,0,0,9/19/2023,9/25/2023,1
20230912,CA,93.54,6.46,0.22,0,0,0,9/12/2023,9/18/2023,1
20230905,CA,93.53,6.47,0.22,0,0,0,9/5/2023,9/11/2023,1
20230829,CA,93.35,6.65,1.35,0,0,0,8/29/2023,9/4/2023,1
20230822,CA,93.33,6.67,1.38,0,0,0,8/22/2023,8/28/2023,1
20230815,CA,74.56,25.44,7.27,0,0,0,8/15/2023,8/21/2023,1
20230808,CA,74.55,25.45,7.28,0,0,0,8/8/2023,8/14/2023,1
20230801,CA,74.43,25.57,6.52,0,0,0,8/1/2023,8/7/2023,1
20230725,CA,74.43,25.57,6.29,0,0,0,7/25/2023,7/31/2023,1
20230718,CA,74.45,25.55,6.29,0,0,0,7/18/2023,7/24/2023,1
20230711,CA,71.95,28.05,6.29,0,0,0,7/11/2023,7/17/2023,1
20230704,CA,71.95,28.05,4.63,0,0,0,7/4/2023,7/10/2023,1
20230627,CA,71.88,28.12,4.63,0,0,0,6/27/2023,7/3/2023,1
20230620,CA,72.32,27.68,4.63,0,0,0,6/20/2023,6/26/2023,1
20230613,CA,72.32,27.68,4.63,0,0,0,6/13/2023,6/19/2023,1
20230606,CA,70.88,29.12,4.63,0,0,0,6/6/2023,6/12/2023,1
20230530,CA,70.88,29.12,4.63,0,0,0,5/30/2023,6/5/2023,1
20230523,CA,70.86,29.14,4.63,0,0,0,5/23/2023,5/29/2023,1
20230516,CA,68.02,31.98,5.95,0,0,0,5/16/2023,5/22/2023,1
20230509,CA,68.02,31.98,5.95,0,0,0,5/9/2023,5/15/2023,1
20230502,CA,68.04,31.96,7.98,0,0,0,5/2/2023,5/8/2023,1
20230425,CA,68.04,31.96,7.98,0,0,0,4/25/2023,5/1/2023,1
20230418,CA,65.67,34.33,8.79,0,0,0,4/18/2023,4/24/2023,1
20230411,CA,65.67,34.33,8.79,0,0,0,4/11/2023,4/17/2023,1
20230404,CA,56.17,43.83,24.86,0.82,0,0,4/4/2023,4/10/2023,1
20230328,CA,55.34,44.66,28.11,1.95,0,0,3/28/2023,4/3/2023,1
20230321,CA,48.51,51.49,35.88,8.49,0,0,3/21/2023,3/27/2023,1
20230314,CA,44.66,55.34,36.42,8.49,0,0,3/14/2023,3/20/2023,1
20230307,CA,26.84,73.16,43.06,19,0,0,3/7/2023,3/13/2023,1
20230228,CA,16.71,83.29,49.13,24.96,0,0,2/28/2023,3/6/2023,1
20230221,CA,0.61,99.39,84.6,32.62,0,0,2/21/2023,2/27/2023,1
20230214,CA,0.64,99.36,84.6,32.62,0,0,2/14/2023,2/20/2023,1
20230207,CA,0.64,99.36,84.6,32.62,0,0,2/7/2023,2/13/2023,1
20230131,CA,0.64,99.36,89.56,32.57,0,0,1/31/2023,2/6/2023,1
20230124,CA,0.64,99.36,89.56,32.57,0,0,1/24/2023,1/30/2023,1
20230117,CA,0.64,99.36,92.12,42.84,0,0,1/17/2023,1/23/2023,1
20230110,CA,0,100,95.38,46,0.32,0,1/10/2023,1/16/2023,1
20230103,CA,0,100,97.93,71.14,27.1,0,1/3/2023,1/9/2023,1
20221227,CA,0,100,97.94,80.56,35.5,7.16,12/27/2022,1/2/2023,1
20221220,CA,0,100,97.94,80.56,35.5,7.16,12/20/2022,12/26/2022,1
20221213,CA,0,100,97.94,80.56,35.5,7.16,12/13/2022,12/19/2022,1
20221206,CA,0,100,99.48,84.97,40.08,12.73,12/6/2022,12/12/2022,1
20221129,CA,0,100,99.48,84.97,40.92,12.73,11/29/2022,12/5/2022,1
20221122,CA,0,100,99.48,84.97,40.92,12.73,11/22/2022,11/28/2022,1
20221115,CA,0,100,99.48,84.97,40.92,12.73,11/15/2022,11/21/2022,1
20221108,CA,0,100,99.51,88.09,41.39,16.57,11/8/2022,11/14/2022,1
20221101,CA,0,100,99.77,91.83,43.06,16.57,11/1/2022,11/7/2022,1
20221025,CA,0,100,99.77,91.83,43.06,16.57,10/25/2022,10/31/2022,1
20221018,CA,0,100,99.77,91.83,40.91,16.57,10/18/2022,10/24/2022,1
20221011,CA,0,100,99.77,93.99,40.91,16.57,10/11/2022,10/17/2022,1
20221004,CA,0,100,99.77,94.02,40.91,16.57,10/4/2022,10/10/2022,1
20220927,CA,0,100,99.76,94.01,40.91,16.57,9/27/2022,10/3/2022,1
20220920,CA,0,100,99.76,94.06,40.91,16.57,9/20/2022,9/26/2022,1
20220913,CA,0,100,99.76,94.06,40.91,16.57,9/13/2022,9/19/2022,1
20220906,CA,0,100,99.76,97.52,40.18,16.57,9/6/2022,9/12/2022,1
20220830,CA,0,100,99.76,97.52,40.18,16.57,8/30/2022,9/5/2022,1
20220823,CA,0,100,99.76,97.53,43.16,16.57,8/23/2022,8/29/2022,1
20220816,CA,0,100,99.76,97.53,43.16,16.57,8/16/2022,8/22/2022,1
20220809,CA,0,100,99.77,97.52,45.81,16.53,8/9/2022,8/15/2022,1
20220802,CA,0,100,99.78,97.47,59.81,12.12,8/2/2022,8/8/2022,1
20220726,CA,0,100,99.78,97.47,59.81,12.74,7/26/2022,8/1/2022,1
20220719,CA,0,100,99.78,97.47,59.81,12.74,7/19/2022,7/25/2022,1
20220712,CA,0,100,99.8,97.48,59.81,12.74,7/12/2022,7/18/2022,1
20220705,CA,0,100,99.8,97.48,59.81,11.59,7/5/2022,7/11/2022,1
20220628,CA,0,100,99.79,97.48,59.81,11.59,6/28/2022,7/4/2022,1
20220621,CA,0,100,99.79,97.48,59.81,11.59,6/21/2022,6/27/2022,1
20220614,CA,0,100,99.79,97.48,59.81,11.59,6/14/2022,6/20/2022,1
20220607,CA,0,100,99.79,97.48,59.81,11.59,6/7/2022,6/13/2022,1
20220531,CA,0,100,99.86,97.56,59.81,11.59,5/31/2022,6/6/2022,1
20220524,CA,0,100,99.86,97.56,59.81,11.59,5/24/2022,5/30/2022,1
20220517,CA,0,100,99.86,95.14,59.81,0.18,5/17/2022,5/23/2022,1
20220510,CA,0,100,99.86,95.14,59.81,0,5/10/2022,5/16/2022,1
20220503,CA,0,100,100,95.18,40.51,0,5/3/2022,5/9/2022,1
20220426,CA,0,100,100,95.18,40.56,0,4/26/2022,5/2/2022,1
20220419,CA,0,100,100,95.18,40.81,0,4/19/2022,4/25/2022,1
20220412,CA,0,100,100,95.75,46.87,0,4/12/2022,4/18/2022,1
20220405,CA,0,100,100,93.65,40.67,0,4/5/2022,4/11/2022,1
20220329,CA,0,100,100,93.65,40.25,0,3/29/2022,4/4/2022,1
20220322,CA,0,100,100,93.65,37.69,0,3/22/2022,3/28/2022,1
20220315,CA,0,100,100,93.23,35.22,0,3/15/2022,3/21/2022,1
20220308,CA,0,100,100,86.98,12.82,0,3/8/2022,3/14/2022,1
20220301,CA,0,100,100,86.98,12.82,0,3/1/2022,3/7/2022,1
20220222,CA,0,100,100,68.77,6.7,0,2/22/2022,2/28/2022,1
20220215,CA,0,100,99.57,66.39,1.39,0,2/15/2022,2/21/2022,1
20220208,CA,0,100,99.25,66.39,1.39,0,2/8/2022,2/14/2022,1
20220201,CA,0,100,99.25,66.39,1.39,0,2/1/2022,2/7/2022,1
