,0
1924-10-01,
1925-10-01,
1926-10-01,
1927-10-01,
1928-10-01,
1929-10-01,
1930-10-01,
1931-10-01,
1932-10-01,
1933-10-01,
1934-10-01,
1935-10-01,
1936-10-01,
1937-10-01,
1938-10-01,
1939-10-01,
1940-10-01,
1941-10-01,
1942-10-01,
1943-10-01,
1944-10-01,
1945-10-01,
1946-10-01,
1947-10-01,
1948-10-01,
1949-10-01,
1950-10-01,
1951-10-01,
1952-10-01,
1953-10-01,
1954-10-01,
1955-10-01,
1956-10-01,
1957-10-01,
1958-10-01,
1959-10-01,
1960-10-01,
1961-10-01,
1962-10-01,
1963-10-01,
1964-10-01,
1965-10-01,
1966-10-01,
1967-10-01,
1968-10-01,
1969-10-01,
1970-10-01,
1971-10-01,
1972-10-01,
1973-10-01,
1974-10-01,
1975-10-01,
1976-10-01,
1977-10-01,
1978-10-01,
1979-10-01,
1980-10-01,
1981-10-01,
1982-10-01,
1983-10-01,
1984-10-01,
1985-10-01,
1986-10-01,
1987-10-01,
1988-10-01,
1989-10-01,
1990-10-01,
1991-10-01,
1992-10-01,
1993-10-01,
1994-10-01,
1995-10-01,
1996-10-01,
1997-10-01,
1998-10-01,
1999-10-01,
2000-10-01,
2001-10-01,
2002-10-01,
2003-10-01,
2004-10-01,
2005-10-01,
2006-10-01,
2007-10-01,
2008-10-01,
2009-10-01,
2010-10-01,
2011-10-01,
2012-10-01,
2013-10-01,
2014-10-01,
2015-10-01,
2016-10-01,
2017-10-01,
2018-10-01,
2019-10-01,
2020-10-01,
2021-10-01,
2022-10-01,
2023-10-01,
2024-10-01,10.425695378571524
2025-10-01,5.994888679260487
2026-10-01,5.249610544276023
