,0
1996-10-01,5591.79007695929
1997-10-01,5856.7568961000115
1998-10-01,5035.586360329104
1999-10-01,4724.805219121099
2000-10-01,3948.034290446394
2001-10-01,4243.596540214624
2002-10-01,4222.753553859982
2003-10-01,4015.200259124308
2004-10-01,4784.945751821641
2005-10-01,6305.996475892537
2006-10-01,3559.9429665962075
2007-10-01,1749.4004389998197
2008-10-01,2622.2732303302505
2009-10-01,3302.9094190801256
2010-10-01,6430.69767090512
2011-10-01,3599.4330180592697
2012-10-01,2146.545862037493
2013-10-01,1709.7808297265497
2014-10-01,1862.6029962365928
2015-10-01,2830.6426354491537
2016-10-01,5560.425862581795
2017-10-01,6064.842795331713
2018-10-01,5873.998225387716
2019-10-01,5049.82805911242
2020-10-01,1949.364691723959
2021-10-01,2831.5098358624773
2022-10-01,5273.598179440858
2023-10-01,6062.159798595891
