Buyer,Available Water (AF),Carriage Losses (AF),Delivered,Year,Type,Price ($/AF),Group,
Alameda County,1841,552,1289,2020,Transfer,,,
Dudley Ridge,1813,544,1269,2020,Transfer,,,
Kern,61706,14777,46929,2020,Transfer,,,
Kings,410,123,287,2020,Transfer,,,
Santa Clara,9336,934,8402,2020,Transfer,,,
San Luis & Delta-Mendota Water Authority,27117,8135,18982,2020,Transfer,,,
Westlands,30800,9240,21560,2020,Transfer,,,
Alameda-Zone 7,1000,350,650,2018,Transfer,,,
Dudley Ridge,6228,2180,4048,2018,Transfer,,,
Kern,154044,51596,102448,2018,Transfer,,,
DWR,59131,0,59131,2018,Yuba Accords C1,,,
DWR,16575,0,16575,2018,Yuba Accords C3,,,
DWR,16411,0,16411,2018,Yuba Accords C4,,,
Alameda-Zone 7,712,0,712,2017,SWP-Turnback,29.38,29 contracts (each one has % share),
Santa Clara,582,0,582,2017,SWP-Turnback,29.38,same contract/ allocation ,
Kings,82,0,82,2017,SWP-Turnback,29.38,,
Dudley Ridge,400,0,400,2017,SWP-Turnback,29.38,,
Kern,8670,0,8670,2017,SWP-Turnback,29.38,,
Tulare,772,0,772,2017,SWP-Turnback,29.38,,
Santa Barbara,401,0,401,2017,SWP-Turnback,29.38,,
Coachella,806,0,806,2017,SWP-Turnback,29.38,,
Desert,325,0,325,2017,SWP-Turnback,29.38,,
Alameda-Zone 7,819,0,819,2016,SWP-Multiyear Pool,138,,
AVEK,1471,0,1471,2016,SWP-Multiyear Pool,138,,
Kings,95,0,95,2016,SWP-Multiyear Pool,138,,
Desert,566,0,566,2016,SWP-Multiyear Pool,138,,
Dudley Ridge,461,0,461,2016,SWP-Multiyear Pool,138,,
Kern,3533,0,3533,2016,SWP-Multiyear Pool,138,NQH2O,378-525
Metropolitan,6871,0,6871,2016,SWP-Multiyear Pool,138,,
Napa,295,0,295,2016,SWP-Multiyear Pool,138,,
Tulare,889,0,889,2016,SWP-Multiyear Pool,138,,
DWR,60000,0,60000,2016,Yuba Accords C1,150,,
DWR,60000,0,60000,2016,Yuba Accords C1,64,,
Dudley Ridge,294,59,235,2015,Transfer,,,
Kern,6354,1271,5083,2015,Transfer,,,
Kings,61,12,49,2015,Transfer,,,
Metropolitan,12357,2472,9885,2015,Transfer,,,
Napa,89,0,89,2015,Transfer,,,
Oak Flat,17,3,14,2015,Transfer,,,
Palmdale,66,13,53,2015,Transfer,,,
Santa Barbara,149,28,112,2015,Transfer,,,
Santa Clara,2208,442,1766,2015,Transfer,,,
Alameda County,51,0,51,2015,SWP-Multiyear Pool,322,,
Alameda-Zone 7,97,0,97,2015,SWP-Multiyear Pool,322,,
AVEK,174,0,174,2015,SWP-Multiyear Pool,322,,
Desert,67,0,67,2015,SWP-Multiyear Pool,322,,
Dudley Ridge,55,0,55,2015,SWP-Multiyear Pool,322,,
Kern,707,0,707,2015,SWP-Multiyear Pool,322,,
Kings,11,0,11,2015,SWP-Multiyear Pool,322,,
Metropolitan,1374,0,1374,2015,SWP-Multiyear Pool,322,,
Napa,35,0,35,2015,SWP-Multiyear Pool,322,,
Palmdale,26,0,26,2015,SWP-Multiyear Pool,322,,
San Bernardino,123,0,123,2015,SWP-Multiyear Pool,322,,
Santa Barbara,55,0,55,2015,SWP-Multiyear Pool,322,,
Santa Clara,120,0,120,2015,SWP-Multiyear Pool,322,,
Tulare,105,0,105,2015,SWP-Multiyear Pool,322,,
Alameda-Zone 7,345,69,276,2015,Yuba Accords C4,665,,
Coachella,533,107,426,2015,Yuba Accords C4,665,,
Crestline,2,1,1,2015,Yuba Accords C4,665,,
Dudley Ridge,194,39,155,2015,Yuba Accords C4,665,,
Kern,4211,843,3368,2015,Yuba Accords C4,665,,
Kings,40,8,32,2015,Yuba Accords C4,665,,
Metropolitan,8192,1639,6553,2015,Yuba Accords C4,665,,
Napa,124,0,124,2015,Yuba Accords C4,665,,
Oak Flat,24,5,19,2015,Yuba Accords C4,665,,
Palmdale,91,19,72,2015,Yuba Accords C4,665,,
San Bernardino,440,88,352,2015,Yuba Accords C4,665,,
Santa Clara,429,86,343,2015,Yuba Accords C4,665,,
Tulare,375,75,300,2015,Yuba Accords C4,665,,
San Luis & Delta-Mendota Water Authority,15000,5250,9750,2015,Yuba Accords C4,665,,
DWR,11500,0,11500,2015,Pulse Flow Purchase,500,,
San Luis & Delta-Mendota Water Authority,11500,0,11500,2015,Pulse Flow Purchase,500,,
DWR,59131,0,59131,2015,Yuba Accords C1,64,,
Alameda County,5000,0,5000,2014,Transfer,,,
Kings,875,175,700,2014,Transfer,,,
Dudley Ridge,6541,1308,5233,2014,Transfer,,,
Kern,92232,18446,73786,2014,Transfer,,,
Napa,1200,0,1200,2014,Transfer,,,
Oak Flat,525,105,420,2014,Transfer,,,
San Luis & Delta-Mendota Water Authority,3494,783,2711,2014,Transfer,,,
Santa Barbara,3679,736,2943,2014,Transfer,,,
Santa Clara,4500,0,4500,2014,Transfer,,,
Westlands,15225,5626,9599,2014,Transfer,,,
AVEK,111,0,111,2014,SWP-Multiyear Pool,253,,
Dudley Ridge,40,0,40,2014,SWP-Multiyear Pool,253,,
Kern,520,0,520,2014,SWP-Multiyear Pool,253,,
Santa Clara,79,0,79,2014,SWP-Multiyear Pool,253,,
Yuba,37,0,37,2014,Yuba Accords C2,93.75,,
Napa,112,0,112,2014,Yuba Accords C2,93.75,,
Solano,184,0,184,2014,Yuba Accords C2,93.75,,
Alameda-Zone 7,311,62,249,2014,Yuba Accords C2,93.75,,
Santa Clara,385,77,308,2014,Yuba Accords C2,93.75,,
Oak Flat,22,4,18,2014,Yuba Accords C2,93.75,,
Kings,36,7,29,2014,Yuba Accords C2,93.75,,
Dudley Ridge,186,37,149,2014,Yuba Accords C2,93.75,,
Empire,12,2,10,2014,Yuba Accords C2,93.75,,
Kern,3787,757,3030,2014,Yuba Accords C2,93.75,,
Tulare,337,67,270,2014,Yuba Accords C2,93.75,,
AVEK,558,112,446,2014,Yuba Accords C2,93.75,,
Castaic Lake,367,73,294,2014,Yuba Accords C2,93.75,,
Coachella,532,106,426,2014,Yuba Accords C2,93.75,,
Crestline,0,0,0,2014,Yuba Accords C2,93.75,,
Desert,215,43,172,2014,Yuba Accords C2,93.75,,
Littlerock,9,2,7,2014,Yuba Accords C2,93.75,,
Metropolitan,7366,1473,5893,2014,Yuba Accords C2,93.75,,
Palmdale,82,16,66,2014,Yuba Accords C2,93.75,,
San Bernardino,395,79,316,2014,Yuba Accords C2,93.75,,
San Gorgonio,67,13,54,2014,Yuba Accords C2,93.75,,
San Luis & Delta-Mendota Water Authority,15000,0,15000,2014,Yuba Accords C2,93.75,,
Yuba,19,0,19,2014,Yuba Accords C3,125,,
Napa,58,0,58,2014,Yuba Accords C3,125,,
Solano,95,0,95,2014,Yuba Accords C3,125,,
Alameda-Zone 7,160,32,128,2014,Yuba Accords C3,125,,
Santa Clara,199,40,159,2014,Yuba Accords C3,125,,
Oak Flat,11,2,9,2014,Yuba Accords C3,125,,
Kings,19,4,15,2014,Yuba Accords C3,125,,
Dudley Ridge,96,19,77,2014,Yuba Accords C3,125,,
Empire,6,1,5,2014,Yuba Accords C3,125,,
Kern,1848,370,1478,2014,Yuba Accords C3,125,,
Tulare,174,35,139,2014,Yuba Accords C3,125,,
AVEK,288,58,230,2014,Yuba Accords C3,125,,
Castaic Lake,189,38,151,2014,Yuba Accords C3,125,,
Coachella,177,35,142,2014,Yuba Accords C3,125,,
Crestline,0,0,0,2014,Yuba Accords C3,125,,
Desert,111,22,89,2014,Yuba Accords C3,125,,
Littlerock,5,1,4,2014,Yuba Accords C3,125,,
Metropolitan,3596,719,2877,2014,Yuba Accords C3,125,,
Palmdale,42,8,34,2014,Yuba Accords C3,125,,
San Bernardino,204,41,163,2014,Yuba Accords C3,125,,
San Gorgonio,34,7,27,2014,Yuba Accords C3,125,,
San Luis & Delta-Mendota Water Authority,7331,0,7331,2014,Yuba Accords C3,125,,
Yuba,0,0,0,2014,Yuba Accords C4,475,,
Napa,578,0,578,2014,Yuba Accords C4,475,,
Solano,0,0,0,2014,Yuba Accords C4,475,,
Alameda-Zone 7,0,0,0,2014,Yuba Accords C4,475,,
Santa Clara,1991,398,1593,2014,Yuba Accords C4,475,,
Oak Flat,113,23,90,2014,Yuba Accords C4,475,,
