Seller,Type,Volume (AF),Year,Additional Loss,Price ($/AF)
Butte Water District,Groundwater Substitution,2310,2020,0,
Cordua Irrigation District,Groundwater Substitution,7142,2020,0,
Garden Highway Mutual Water Company,Groundwater Substitution,4215,2020,0,
Sutter Extension Water District,Groundwater Substitution,2308,2020,0,
Tule Basin Farms,Groundwater Substitution,2462,2020,0,
Plumas Mutual Water Company,Groundwater Substitution,4467,2020,0,
South Sutter Water District,Groundwater Substitution,9309,2020,0,
Carmichael Water District,Groundwater Substitution,1432,2020,0,
City of Sacramento,Groundwater Substitution,11342,2020,0,
Golden State Water Company,Groundwater Substitution,2107,2020,0,
Anderson-Cottonwood Irrigation District,Groundwater Substitution,1957,2020,0,
Pelger Mutual Water Company,Groundwater Substitution,1391,2020,0,
Reclamation District 1004,Groundwater Substitution,1354,2020,0,
Henle Family Limited Partnership,Groundwater Substitution,191,2020,0,
"Pelger Road 1700, LLC",Groundwater Substitution,1720,2020,0,
South Sutter Water District,Groundwater Substitution,4631,2020,0,
"Windswept Orchards, LLC",Groundwater Substitution,570,2020,0,
Pleasant Grove-Verona Mutual Water Company,Groundwater Substitution,5101,2020,0,
Te Velda Revocable Family Trust,Groundwater Substitution,821,2020,0,
River Garden Farms,Groundwater Substitution,3431,2020,0,
Natomas Central Mutual Water Company,Groundwater Substitution,5950,2020,0,
Placer County Water Agency,Reservoir,19000,2020,0,
Merced Irrigation District,Reservoir,45000,2020,-16988,
Foresthill Public Utility District,Reservoir,1900,2020,0,
Georgetown Divide Public Utility,Reservoir,1900,2020,0,
El Dorado Irrigation District,Reservoir,8000,2020,0,
Richvale Irrigation District,Fallowing,21420,2018,0,
Western Canal Water District,Fallowing,34122,2018,0,
Biggs-West Gridley Water District,Fallowing,20291,2018,0,
Butte Water District,Fallowing + Groundwater Substitution,19932,2018,0,
Merced Irrigation District,Reservoir,20000,2018,-2979,
Foresthill Public Utility District,Reservoir,809,2018,-80.7,
El Dorado Irrigation District,Reservoir,1533,2018,0,
Cordua Irrigation District,Groundwater Substitution,7900,2018,0,
